"Date","SPY","QQQ","IWM","EFA","EEM","AGG","TLT","GLD","USO","VNQ","GSG","HYG","IBIT"
2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,0.00690277417964082,0.00873862681653942,0.0115289987987746,0.0072113454048931,0.00719760951002701,0.00346507906729781,0.00900871062642596,0.0109469863092268,0.0103500936533681,0.00977578603130464,0.00831757614290808,0.0026599983141037,0.0350447639022708
2024-07-18,0.0061221131421301,0.00969848476580042,0.0115288410321794,0.00719277012860881,0.00779441107975358,0.00341569039374494,0.00892861082390488,0.0108169133396379,0.0111016885213697,0.00970599964036012,0.00826066517712863,0.00262879955203482,0.0350030299266011
2024-07-19,0.00619205059133194,0.00963798357574772,0.0118249327851143,0.00726672503317015,0.0075849093744209,0.00326511272307127,0.00890845532417463,0.010745254457083,0.0111007349264838,0.00970627044202653,0.00825382887612876,0.00262750177353289,0.034490177433907
2024-07-22,0.0062232185374074,0.00964494988690408,0.0116447833671144,0.00725652045524917,0.00784176530432439,0.0034337121741622,0.00885851072537527,0.0114918571334573,0.0117305029793961,0.00960793927410301,0.00841707451896343,0.00260419812832359,0.0350811656686161
2024-07-23,0.00629813550894345,0.00975087722350896,0.0117805926813244,0.0073318819286084,0.00768166246546135,0.00336266306544008,0.00880134191775757,0.011031415267842,0.0117735068515669,0.00960046428519048,0.00836229650850677,0.00260982044355357,0.0347645011521273
2024-07-24,0.00625324040844304,0.00966137825328022,0.0117995227662367,0.00732234236507347,0.0077200968986438,0.00332464204755878,0.00870889551254711,0.010795521414949,0.0120219081860194,0.0094986548085736,0.0083493713806298,0.00257640405801998,0.0350242159018934
2024-07-25,0.00759121974913946,0.0107440915426232,0.0119785807752656,0.0074518126084385,0.0079420235163265,0.00332278926556028,0.00870692131444657,0.0105461266023707,0.0119879723644841,0.0096591054465821,0.00827423224774673,0.00259154619439402,0.0346462135584263
2024-07-26,0.00760860995803015,0.0107628447768222,0.0120492334393821,0.00743605065676326,0.00787145470202939,0.00330538404252937,0.00873879972592611,0.0109302955762569,0.0117669880745249,0.00957927013365736,0.00821126191364391,0.00256779338312365,0.0343758205417423
2024-07-29,0.0076276535173507,0.0106861455407542,0.0120239352635589,0.00754489247152692,0.00790986075416215,0.00330856168998441,0.00873656149415417,0.010897531117003,0.0120810027408881,0.00976751783408223,0.00832600459739188,0.00256266287586413,0.0347844188499745
2024-07-30,0.00760227640397065,0.0106606534882977,0.0120521125563649,0.00751128150354144,0.00785165194060455,0.00327321768896653,0.00867498091411523,0.0106429948833097,0.012294314497144,0.00968674648048904,0.00828099253530907,0.0025280090714539,0.0344780535483319
2024-07-31,0.0075965314227972,0.0107355506583611,0.0119948302245368,0.00744424880763492,0.00780334472420209,0.00324645829503846,0.00860834594631625,0.0106962690006857,0.0119056835960622,0.00963372206151551,0.00821516377001379,0.00247297427020998,0.0342998052987165
2024-08-01,0.0080559839083197,0.013765925759067,0.0118972127348464,0.00760970737647072,0.00824146332668895,0.00328509261037357,0.0086331789532297,0.0109470860203696,0.0140461005856895,0.00955774893465057,0.00877012040422777,0.00250535564160305,0.0340115101014239
2024-08-02,0.00844780627633826,0.0156533484052514,0.0125983417273843,0.00878113617986929,0.00850385397762029,0.003297640938163,0.00861880564446308,0.0107476612833251,0.0141924630758424,0.00954424648165477,0.00896482629238061,0.0024981916722467,0.0339741250074194
2024-08-05,0.0100385046947593,0.0169670554974974,0.0213325663250641,0.0101356409319297,0.00864121021490184,0.0035832320101868,0.00941964624228928,0.0106476744739548,0.0148896557560513,0.00944783010236907,0.00927400338909177,0.002547649650786,0.0337118629062797
2024-08-06,0.014355782261234,0.0193848910734363,0.0225314429707865,0.0127832170554535,0.0136025980114012,0.00355556436480479,0.00936899478368928,0.0107937236510653,0.0147799111254278,0.0101964362214978,0.00921477825042841,0.00270988354207799,0.0385008323106739
2024-08-07,0.0134402332476855,0.0178614124457168,0.0181698543711499,0.00927183117573586,0.0140455099227199,0.00363692111195823,0.00970961391923344,0.0107397518733486,0.0147279266819144,0.010533976304529,0.00911317781181557,0.0027328379294826,0.0389400612139774
2024-08-08,0.0125487852212919,0.0168957452759762,0.0157983452670106,0.0111645002664742,0.00910719284770216,0.00363131232425908,0.00970277520090271,0.0105598726950829,0.0151026803210864,0.0103704308504893,0.00922975069793116,0.00271031322397793,0.0389120089437129
2024-08-09,0.0140552593989205,0.0188547346624203,0.0179602113782763,0.0101440206358237,0.0130802113975608,0.00359985604383706,0.00957938307788155,0.01069825576552,0.0150293541469501,0.0103465480976708,0.00915280991029895,0.00273354753628164,0.0400294254794599
2024-08-12,0.0128804967903927,0.0173141631380178,0.0154630683093387,0.0113755508356255,0.0122464284592679,0.00359922994244634,0.00965157939963744,0.0105994443196484,0.0149796382988459,0.010266037171344,0.00912714562456348,0.00268624770889761,0.0398090774372797
2024-08-13,0.0118657375374142,0.0159586973283937,0.014515219222709,0.0109332645923784,0.0122933021796466,0.00357056515951841,0.00959658110369974,0.0107836693502878,0.0153519719556065,0.010245465642116,0.00942103360848785,0.002678570976642,0.0396834124974314
2024-08-14,0.0121903217720356,0.016917606578351,0.0152754123079167,0.0114198052150523,0.0118985750104942,0.00355414934270868,0.00957655271396108,0.0106111742500869,0.0153220518352682,0.0101965616277708,0.00944927510870884,0.00271823199354037,0.0395434503828287
2024-08-15,0.0113472688934805,0.0156600394747529,0.0142469837750396,0.0110906254069941,0.0120767937366216,0.00353449289138753,0.0094598125373784,0.0105412494798291,0.0153109693022338,0.0101071261201502,0.0093701518218831,0.00268680034653586,0.0394609225035627
2024-08-16,0.0118696697341359,0.016715246248881,0.017175742577909,0.0110428136845018,0.0115580795675565,0.00355939442539547,0.00950562379424218,0.0105092833714265,0.0152554534869558,0.0100195073844442,0.00926120353943256,0.00266114554404221,0.0393812822881265
2024-08-19,0.0110814040188534,0.0155344548027423,0.0152850997799504,0.00866264247025861,0.0120813349240196,0.00352312447654002,0.00945969284882927,0.0108708213180054,0.0152457020209218,0.00993526673890946,0.00928081595159265,0.00266446213371311,0.0394888671620737
2024-08-20,0.0107690149517439,0.0149932317936145,0.0149464204491508,0.00912216569477605,0.0114511105997354,0.00349604855323301,0.00936995088259341,0.0107048558912723,0.0155063424878131,0.0098905719259127,0.00922197448452277,0.00263221785402079,0.0392362779443007
2024-08-21,0.0102026051426471,0.0140800181195346,0.0148054922867242,0.00847988156398208,0.00943079508188632,0.0034939685325181,0.00934249251910835,0.010658196149809,0.015380714511132,0.00980855085613695,0.0091355506386037,0.00261864100501116,0.0389658561765844
2024-08-22,0.00972393654973453,0.0132577819780007,0.0147790834290171,0.0103984806900491,0.00937542620022426,0.0034544381514485,0.00926637518155477,0.0105297312208722,0.0154064268264754,0.00973610170810637,0.00914681563516144,0.00259698622156676,0.0389040609837668
2024-08-23,0.00972621438435496,0.0138373550377818,0.0143502453369042,0.00829048419454716,0.00944078983685689,0.00346647328616432,0.00929243386215722,0.0105901553381411,0.0153810768522571,0.0096521008004485,0.00906802211916432,0.00258408850984479,0.0387314156561116
2024-08-26,0.00974907971999709,0.0134098459120046,0.0183290053451769,0.00998763892976342,0.0125007004815675,0.0034906974156881,0.00924884132851008,0.0106185308500632,0.0157402004858654,0.00994459021755511,0.00933255481823552,0.0026507260194184,0.039010130170393
2024-08-27,0.00941035663877106,0.013218433666382,0.0162233748085689,0.00939147549526884,0.0116888688701788,0.00347048517920069,0.00918519613125589,0.0104309736648264,0.0189527599428029,0.00986091589654319,0.0094591296634431,0.00264357152234323,0.0387411711660111
2024-08-28,0.00905069045149992,0.0125185853656717,0.015301899442248,0.0088332693137865,0.00952710849870606,0.00341852787906202,0.00912175921265156,0.0103877126275551,0.0189153884830296,0.00977617794620077,0.0094045203170802,0.00261667841708638,0.0385630807618492
2024-08-29,0.00901366422755328,0.0126477976052886,0.0145630419476466,0.0100228266555455,0.00949151076769866,0.00340597303885316,0.00905872591921012,0.0102999586953362,0.0187413234494717,0.00971448888224517,0.00945919826674,0.00258571079977467,0.0388313847156178
2024-08-30,0.00870981163325784,0.0120283643257451,0.0140710208514282,0.00930776841476826,0.00939665300928602,0.00339376538254296,0.00900190613968569,0.0102975794443603,0.0186384171964574,0.00964765576476963,0.00950905198623175,0.00255645942438662,0.0385584268836395
2024-09-03,0.00911573317536165,0.012119447375564,0.0144261701687461,0.00936530186339531,0.00933968573444493,0.00339083999324434,0.00903771959285287,0.0102795089586971,0.0197822443303265,0.00964003451437215,0.00960468013591304,0.00252002976965304,0.0383052460777789
2024-09-04,0.01106370427707,0.0155830201720379,0.018899051637561,0.0101417889008246,0.0093655022577489,0.00339040658979602,0.00917161921710275,0.0102418292535158,0.0223601167230226,0.00954540301656122,0.0111612893235865,0.00256363539161273,0.0380638535277585
2024-09-05,0.0107131073294133,0.0149009987093386,0.0170008134951676,0.00913035613751037,0.00951167454831325,0.00339552844410136,0.00922376840712716,0.0101657998715768,0.0224069294775015,0.00946524022831432,0.0110502861872895,0.00258977031516649,0.0377904326654553
2024-09-06,0.010454044336826,0.0142744466312512,0.016157573959724,0.0095560725526767,0.00947781846390785,0.00336992829554379,0.00917447552057068,0.0101123629052664,0.0217940370603429,0.00940161234518638,0.0106424864424255,0.00258428063887263,0.0377794164317524
2024-09-09,0.0113341897347789,0.0161106493082706,0.017076353420749,0.00962490024432402,0.0096480754796057,0.00334156997241414,0.00911415112191633,0.0101373207646876,0.0215493698102204,0.00932748896440277,0.0108775172074243,0.00256453842126502,0.037914459485551
2024-09-10,0.0112614043597099,0.0157431179711147,0.0161118618133684,0.0102894319054506,0.00960487662233364,0.00332197602737914,0.0090347140797098,0.00995446264965013,0.0210876731697565,0.00932958170249103,0.010671822457622,0.0025541927757269,0.038516342124125
2024-09-11,0.0109142848429861,0.0152412272426355,0.0154132439224609,0.00992606838601516,0.00957608710191915,0.00331869801041627,0.00901830042958719,0.00917164729594172,0.0221303311111359,0.00940161892688016,0.0115830803252488,0.00255015109937895,0.0382853406700836
2024-09-12,0.0109143832902156,0.0158106853859003,0.0149843315710031,0.00959466151039689,0.0095404507665568,0.00328787793514454,0.00895075620331629,0.00899194866203638,0.0218208350222111,0.00933274447943977,0.0116802842467961,0.00254808672345203,0.0380297241625725
2024-09-13,0.0107236326686241,0.01532850742026,0.0154655900165965,0.00941329612334513,0.00952778242081925,0.00326361414718824,0.00890903586699973,0.009478544036068,0.0224180183291876,0.00925662826804963,0.0125489930349766,0.00251206880908324,0.0377934652695902
2024-09-16,0.0104615352637647,0.0146891338674461,0.0175374485528934,0.00898698358759527,0.00947249137284475,0.00324253002177592,0.00892915367903783,0.00943324219894025,0.0218827374206797,0.00925215421289331,0.0121595637217662,0.00248258654648088,0.0376215751414893
2024-09-17,0.0101658383490483,0.0142127467661318,0.0161449807051509,0.00891669744523475,0.00939496698725978,0.00322161100482329,0.00884082010614617,0.00929173089702913,0.0216629503342123,0.00915966326905271,0.0120964381398136,0.00246846566759358,0.0375568105576394
2024-09-18,0.00989538569954927,0.0136567165079622,0.015594881323516,0.00874552648455577,0.00935925905481173,0.00319642227831552,0.00880145001615645,0.00923246537385244,0.021324421056014,0.0091617752330077,0.0119566552288908,0.00245243378672245,0.0374817022392879
2024-09-19,0.00972163065282886,0.0132384448247724,0.0149739687321007,0.00861078651572823,0.00931271130337295,0.00319896553964057,0.00888003114343763,0.00922429555872336,0.0211758176660797,0.00909546933946596,0.0118018469830608,0.00237547277717581,0.0372036045736828
2024-09-20,0.0106047450292774,0.0148138625877681,0.0164797488269386,0.00985570374650058,0.00953867994371438,0.00317420730328723,0.00883058978006091,0.00947500731882897,0.0216978867867719,0.00900478670119336,0.0123467849855664,0.00239402195985347,0.0374988969746308
2024-09-23,0.0103079250310434,0.0142561636201094,0.0160140773109552,0.0093415225858078,0.00948583737919581,0.00314646119017159,0.00878157713116174,0.00952859362979466,0.0212366277470444,0.00896934322271745,0.0121038464285138,0.00232537357389002,0.0372838280684651
2024-09-24,0.0100150315972344,0.013711525193868,0.0152700845110577,0.00965912418209503,0.00945874168174405,0.00310597593037172,0.00872815800156533,0.0093997977238587,0.0209626025927745,0.00895883187813033,0.0117754226624492,0.002370695818566,0.0369949635840523
2024-09-25,0.00975370861568085,0.0132242927651389,0.0147392817143304,0.00935895736223258,0.0182095410931168,0.00304210643716664,0.00865872529726956,0.00990021316030478,0.0206884731247673,0.00888348805969296,0.0119558953706759,0.0023391807558428,0.0367810827830189
2024-09-26,0.00955553285535859,0.0126897336220743,0.015222757993287,0.00918978851103172,0.0135977450903685,0.00313191170727776,0.00867197567296634,0.0097435048541163,0.0210597298697171,0.00886643160787712,0.0118766765982164,0.00230852650866638,0.036619033180389
2024-09-27,0.0093263470084233,0.0123039275181945,0.0147423006904808,0.0101415632487338,0.0172625095075579,0.00307843564484038,0.00857309831327431,0.00927995940621256,0.0220074764294695,0.00889303745079653,0.0119330362190912,0.00227779623243506,0.0364479881864173
2024-09-30,0.00913882629198486,0.0119707154269793,0.0145239857772431,0.00988034394507675,0.0185538602916567,0.00307453068814483,0.00855593407694703,0.00930359140523302,0.0218711394065071,0.00881915319106558,0.0118027077766993,0.00226317927479092,0.0362482554384303
2024-10-01,0.00862221389595809,0.0101783655370157,0.0131074662672217,0.00964986800050673,0.0168891271615164,0.00305162453078502,0.00852650704209273,0.00932922878114745,0.0211748046992245,0.00878773151244372,0.0114286856089156,0.00221636258463981,0.0362228486197114
2024-10-02,0.00882060077101216,0.0118668666301116,0.0135351287633822,0.00955282039308434,0.0139700342262958,0.00304696096581143,0.00851425959763412,0.00950573421065724,0.0214792019619064,0.00876499588780452,0.0116423322292892,0.00217879282119991,0.0361555274918233
2024-10-03,0.0083653748916704,0.0111703449076889,0.012666442645866,0.00917666471702645,0.0138121476956609,0.00302460055218043,0.00851085436703338,0.00925510452575369,0.0208456629494315,0.00871563782315216,0.0113107799771589,0.00214525375977358,0.0360246428670415
2024-10-04,0.00652067547482365,0.0100584731300214,0.0125065947294141,0.00916309535468618,0.0147486290975258,0.00306243691373276,0.00852429071235635,0.00908504509047894,0.021964874806754,0.0087409266750842,0.0117206038358547,0.0021683161671028,0.0361087625212762
2024-10-07,0.0080909590181851,0.0106179035237914,0.0131563902309802,0.00877130970060797,0.0127189311635225,0.00316685183921176,0.00859252996067394,0.00895506896367731,0.0212840047840277,0.00870190334247459,0.0113191941739496,0.00213413864022573,0.0356449302277916
2024-10-08,0.00841721442948854,0.0104460891047959,0.0128191325956662,0.0088263562576441,0.0125761502290333,0.00317785799028679,0.00858150667616745,0.0088275050459567,0.0220976695391203,0.00871874266865443,0.0113956360551488,0.00228881500610542,0.0354300807754656
2024-10-09,0.00844143476153411,0.0113359185900798,0.0122560739592116,0.00850534785576976,0.0135679380194118,0.00314575185660407,0.00853776856738912,0.00884926836576756,0.0238077478038694,0.00864671171748193,0.0134210291140765,0.00228013267766528,0.0352862451871616
2024-10-10,0.00825665579077278,0.0109655894938588,0.0119707991616478,0.00791089966727502,0.0127374967782625,0.00314328648014937,0.00848875334450857,0.00879594884008297,0.0229743639728398,0.00857580477080325,0.0123654398846525,0.00224843874256793,0.0350995091943108
2024-10-11,0.00796670269707127,0.0102185962464433,0.0120073711842928,0.00787412200766054,0.0119235880284999,0.00311786770681759,0.00846755877005951,0.0086979859644578,0.02348862493855,0.00859470125732898,0.0127134188772293,0.00219914052965625,0.0349709957389331
2024-10-14,0.0078067396922853,0.00986931644508597,0.0140266015324401,0.00792562136182784,0.0129583296367733,0.00309374343217169,0.00840818455576795,0.00876894714793724,0.0226238949346026,0.00861974765898824,0.0123972220948635,0.00220590878409369,0.035393645239394
2024-10-15,0.00686187276491301,0.00975342387630434,0.013018473624816,0.00782429093434813,0.0118752037441747,0.00308307632412845,0.00835438291646168,0.00863314834626905,0.0223845873688218,0.00857776016564805,0.012575620013709,0.00216388192214379,0.0353660927111254
2024-10-16,0.00806674665349557,0.0103786963892862,0.0123224913908768,0.00854062174135096,0.0131445793267522,0.00307455911537132,0.00840614535277183,0.0084701626861987,0.0239561654227798,0.0086112971453553,0.0131842848622588,0.00213201280123331,0.0352821988347546
