date,text,sentiment_label,sentiment_score
2025-05-17 10:27:00,"Walmart should STOP trying to blame Tariffs as the reason for raising prices throughout the chain. Walmart made BILLIONS OF DOLLARS  last year, far more than expected. Between Walmart and China they should, as is said, “EAT THE TARIFFS,” and not charge valued customers ANYTHING. I’ll be watching, and so will your customers!!!",neutral,0.8409714698791504
2025-05-09 08:43:00,"Many Trade Deals in the hopper, all good (GREAT!) ones!",neutral,0.7165374755859375
2025-05-02 12:08:00,"Maria Bartiromo: “As President Trump would say, it’s going to be the best economy anybody has ever seen. Look, we've got a market that is reflecting that.""",positive,0.7929373383522034
2025-04-30 09:13:00,"This is Biden’s Stock Market, not Trump’s. I didn’t take over until January 20th. Tariffs will soon start kicking in, and companies are starting to move into the USA in record numbers. Our Country will boom, but we have to get rid of the Biden “Overhang.” This will take a while, has NOTHING TO DO WITH TARIFFS, only that he left us with bad numbers, but when the boom begins, it will be like no other. BE PATIENT!!!",neutral,0.7579835057258606
2025-04-17 08:02:00,"Had a very productive call with the President of Mexico yesterday. Likewise, I met with the highest level Japanese Trade Representatives. It was a very productive meeting. Every Nation, including China, wants to meet! Today, Italy!",neutral,0.5357528328895569
2025-04-17 06:12:00,"The ECB is expected to cut interest rates for the 7th time, and yet, “Too Late” Jerome Powell of the Fed, who is always TOO LATE AND WRONG, yesterday issued a report which was another, and typical, complete “mess!” Oil prices are down, groceries (even eggs!) are down, and the USA is getting RICH ON TARIFFS. Too Late should have lowered Interest Rates, like the ECB, long ago, but he should certainly lower them now. Powell’s termination cannot come fast enough!",negative,0.909360408782959
2025-04-16 17:48:00,A Great Honor to have just met with the Japanese Delegation on Trade. Big Progress!,positive,0.8899551033973694
2025-04-07 18:22:00,"Secretary of Treasury, Scott Bessent: “Almost 70 countries have now approached us wanting to help rebalance global trade…”",positive,0.8865965604782104
2025-04-07 10:04:00,This is NOT SUSTAINABLE! The United States can't lose $1.9 trillion on trade…,negative,0.6245886087417603
2025-04-03 15:17:00,I think it’s going very well—The MARKETS are going to BOOM…,positive,0.8066144585609436
